Image Path,Image Class
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/8.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/9.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/4.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/5.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/7.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/6.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/2.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/3.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/1.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/61/0.jpg,61
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/8.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/9.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/4.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/5.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/7.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/6.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/2.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/3.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/1.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/95/0.jpg,95
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/8.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/9.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/4.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/5.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/7.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/6.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/2.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/3.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/1.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/59/0.jpg,59
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/8.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/9.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/4.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/5.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/7.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/6.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/2.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/3.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/1.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/92/0.jpg,92
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/8.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/9.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/4.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/5.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/7.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/6.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/2.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/3.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/1.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/66/0.jpg,66
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/50/8.jpg,50
/Users/thomas/Documents/GitHub/CSE_144_Final_Project/Final_Project/train/train/50/9.jpg,50
